Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Checkout,Firefox 65.0,,2019-04-23 17:23:34,2019-04-23 17:27:02,3m - 28.830s,PASSED
,,,,,,
Test Cases/Checkout/TC12 Click button add to chart in product list,Firefox 65.0,,2019-04-23 17:23:34,2019-04-23 17:24:05,30.753s,PASSED
"openBrowser("""")",Firefox 65.0,,2019-04-23 17:23:34,2019-04-23 17:23:38,3.743s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 65.0,,2019-04-23 17:23:38,2019-04-23 17:23:43,5.154s,PASSED
"click(findTestObject(""Object Repository/Checkout/TC12/Page_Swag Labs/div_Accepted usernames are              standard_user              locked_out_user              problem_user              performance_glitch_user""))",Firefox 65.0,,2019-04-23 17:23:43,2019-04-23 17:23:43,0.250s,PASSED
"setText(findTestObject(""Object Repository/Checkout/TC12/Page_Swag Labs/input_standard_userlocked_out_userproblem_userperformance_glitch_user_user-name""), ""standard_user"")",Firefox 65.0,,2019-04-23 17:23:43,2019-04-23 17:23:43,0.067s,PASSED
"click(findTestObject(""Object Repository/Checkout/TC12/Page_Swag Labs/div_Password for all users                secret_sauce""))",Firefox 65.0,,2019-04-23 17:23:43,2019-04-23 17:23:43,0.227s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Checkout/TC12/Page_Swag Labs/input_standard_userlocked_out_userproblem_userperformance_glitch_user_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Firefox 65.0,,2019-04-23 17:23:43,2019-04-23 17:23:44,0.085s,PASSED
"click(findTestObject(""Object Repository/Checkout/TC12/Page_Swag Labs/input_standard_userlocked_out_userproblem_userperformance_glitch_user_btn_action""))",Firefox 65.0,,2019-04-23 17:23:44,2019-04-23 17:24:04,20.769s,PASSED
"click(findTestObject(""Object Repository/Checkout/TC12/Page_Swag Labs/button_ADD TO CART""))",Firefox 65.0,,2019-04-23 17:24:04,2019-04-23 17:24:05,0.242s,PASSED
,,,,,,
Test Cases/Checkout/TC13 View cart list,Firefox 65.0,,2019-04-23 17:24:05,2019-04-23 17:24:27,22.215s,PASSED
"openBrowser("""")",Firefox 65.0,,2019-04-23 17:24:05,2019-04-23 17:24:09,4.751s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 65.0,,2019-04-23 17:24:09,2019-04-23 17:24:13,3.667s,PASSED
"click(findTestObject(""Object Repository/Checkout/TC13/Page_Swag Labs/div_Accepted usernames are              standard_user              locked_out_user              problem_user              performance_glitch_user""))",Firefox 65.0,,2019-04-23 17:24:13,2019-04-23 17:24:13,0.227s,PASSED
"setText(findTestObject(""Object Repository/Checkout/TC13/Page_Swag Labs/input_standard_userlocked_out_userproblem_userperformance_glitch_user_user-name""), ""standard_user"")",Firefox 65.0,,2019-04-23 17:24:13,2019-04-23 17:24:13,0.052s,PASSED
"click(findTestObject(""Object Repository/Checkout/TC13/Page_Swag Labs/div_Password for all users                secret_sauce""))",Firefox 65.0,,2019-04-23 17:24:13,2019-04-23 17:24:14,0.226s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Checkout/TC13/Page_Swag Labs/input_standard_userlocked_out_userproblem_userperformance_glitch_user_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Firefox 65.0,,2019-04-23 17:24:14,2019-04-23 17:24:14,0.044s,PASSED
