Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Product list,Firefox 65.0,,2019-04-23 16:42:51,2019-04-23 16:45:01,2m - 10.351s,PASSED
,,,,,,
Test Cases/Product list/TC05 View product list,Firefox 65.0,,2019-04-23 16:42:51,2019-04-23 16:43:19,27.652s,PASSED
"openBrowser("""")",Firefox 65.0,,2019-04-23 16:42:51,2019-04-23 16:42:56,4.313s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 65.0,,2019-04-23 16:42:56,2019-04-23 16:43:01,4.779s,PASSED
"setText(findTestObject(""Product list/TC05/Page_Swag Labs/input_Epic sadfaceUsername and password do not match any user in this service_user-name""), ""standard_user"")",Firefox 65.0,,2019-04-23 16:43:01,2019-04-23 16:43:01,0.092s,PASSED
"setEncryptedText(findTestObject(""Product list/TC05/Page_Swag Labs/input_Epic sadfaceUsername and password do not match any user in this service_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Firefox 65.0,,2019-04-23 16:43:01,2019-04-23 16:43:01,0.089s,PASSED
"click(findTestObject(""Product list/TC05/Page_Swag Labs/input_Epic sadfaceUsername and password do not match any user in this service_btn_action""))",Firefox 65.0,,2019-04-23 16:43:01,2019-04-23 16:43:19,18.148s,PASSED
,,,,,,
Test Cases/Product list/TC06 View product detail,Firefox 65.0,,2019-04-23 16:43:19,2019-04-23 16:43:45,26.349s,PASSED
"openBrowser("""")",Firefox 65.0,,2019-04-23 16:43:19,2019-04-23 16:43:24,4.653s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Firefox 65.0,,2019-04-23 16:43:24,2019-04-23 16:43:28,4.626s,PASSED
"setText(findTestObject(""Product list/TC06/Page_Swag Labs/Page_Swag Labs/input_standard_userlocked_out_userproblem_userperformance_glitch_user_user-name""), ""standard_user"")",Firefox 65.0,,2019-04-23 16:43:28,2019-04-23 16:43:28,0.060s,PASSED
"setEncryptedText(findTestObject(""Product list/TC06/Page_Swag Labs/Page_Swag Labs/input_standard_userlocked_out_userproblem_userperformance_glitch_user_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Firefox 65.0,,2019-04-23 16:43:28,2019-04-23 16:43:28,0.052s,PASSED
"click(findTestObject(""Product list/TC06/Page_Swag Labs/Page_Swag Labs/input_standard_userlocked_out_userproblem_userperformance_glitch_user_btn_action""))",Firefox 65.0,,2019-04-23 16:43:28,2019-04-23 16:43:45,16.497s,PASSED
"click(findTestObject(""Product list/TC06/Page_Swag Labs/Page_Swag Labs/div_Sauce Labs Backpack""))",Firefox 65.0,,2019-04-23 16:43:45,2019-04-23 16:43:45,0.348s,PASSED
,,,,,,
Test Cases/Product list/TC07 Tap back in product detail page,Firefox 65.0,,2019-04-23 16:43:45,2019-04-23 16:43:54,9.253s,PASSED
"openBrowser("""")",Firefox 65.0,,2019-04-23 16:43:45,2019-04-23 16:43:49,3.910s,PASSED
